Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
14343;LES ISLES BARDEL;14690;48.8374, -0.349055;68
14344;JANVILLE;14670;49.1638, -0.163747;368
14350;LA LANDE SUR DROME;14240;49.0733, -0.86002;0
14352;LANDELLES ET COUPIGNY;14380;48.8984, -1.00295;899
14352;LANDELLES ET COUPIGNY;14380;48.8984, -1.00295;899
14365;LION SUR MER;14780;49.3008, -0.333955;2452
14366;LISIEUX;14100;49.1467, 0.238275;21576
14369;LITTEAU;14490;49.1531, -0.909894;283
14371;LIVAROT PAYS D AUGE;14140;49.0052, 0.165981;6619
14371;LIVAROT PAYS D AUGE;14140;49.0052, 0.165981;6619
14373;LE LOCHEUR;14210;49.1052, -0.556086;0
14385;MAGNY EN BESSIN;14400;49.3116, -0.66648;165
14399;MANNEVILLE LA PIPARD;14130;49.2653, 0.228361;299
14408;MAY SUR ORNE;14320;49.0967, -0.379271;1924
14410;MERY CORBON;14370;49.1315, -0.074648;1161
14412;LE MESNIL AU GRAIN;14260;49.0468, -0.606121;74
14416;LE MESNIL CAUSSOIS;14380;48.8551, -1.01089;0
14419;LE MESNIL EUDES;14100;49.0931, 0.17472;275
14421;LE MESNIL GUILLAUME;14100;49.1049, 0.282567;617
14423;LE MESNIL PATRY;14740;49.1925, -0.543334;0
14445;MONTFIQUET;14490;49.1851, -0.88887;103
14456;MOULT;14370;49.1127, -0.165294;2754
14473;NOTRE DAME DE LIVAYE;14340;49.1179, 0.0412833;126
14475;NOYERS MISSY;14210;49.1242, -0.575353;2323
14476;OLENDON;14170;48.9686, -0.173142;203
14480;OSMANVILLE;14230;49.334, -1.08866;554
14481;LES OUBEAUX;14230;49.2847, -1.05252;0
14491;PARFOURU SUR ODON;14310;49.089, -0.608827;203
14500;PIERREFITTE EN AUGE;14130;49.2549, 0.200274;162
14506;PLANQUERY;14490;49.1624, -0.826461;235
14510;LA POMMERAYE;14690;48.9094, -0.415483;58
14513;PONT FARCY;14380;48.9437, -1.03672;550
14515;PORT EN BESSIN HUPPAIN;14520;49.3396, -0.772708;1983
14528;QUETTEVILLE;14130;49.342, 0.300133;384
14531;RAPILLY;14690;48.857, -0.343805;47
14533;REPENTIGNY;14340;49.199, 0.0426897;93
14535;REVIERS;14470;49.2985, -0.465692;592
14540;ROCQUES;14100;49.1687, 0.249418;306
14542;ROSEL;14740;49.2217, -0.450027;581
