Code_INSEE;Nom_commune;Code_postal;coordonnees_gps;Population
21180;CLERY;21270;47.2955, 5.50214;136
21187;COMMARIN;21320;47.2496, 4.65314;116
21191;CORCELLES LES CITEAUX;21910;47.1692, 5.08259;824
21192;CORCELLES LES MONTS;21160;47.3041, 4.94246;661
21203;COURCELLES FREMOY;21460;47.4471, 4.18665;131
21211;CRECEY SUR TILLE;21120;47.5701, 5.14132;156
21212;CREPAND;21500;47.6071, 4.3102;335
21213;CRIMOLOIS;21800;47.2703, 5.12442;797
21216;CULETRE;21230;47.1469, 4.56865;94
21221;CUSSY LA COLONNE;21360;47.0424, 4.64822;63
21224;DAMPIERRE EN MONTAGNE;21350;47.4388, 4.55901;82
21226;DARCEY;21150;47.5469, 4.56689;343
21227;DAROIS;21121;47.3938, 4.93237;473
21231;DIJON;21000;47.3229, 5.03789;159168
21232;DOMPIERRE EN MORVAN;21390;47.4005, 4.23216;215
21244;EGUILLY;21320;47.3011, 4.49993;62
21246;EPERNAY SOUS GEVREY;21220;47.1745, 5.03737;189
21247;EPOISSES;21460;47.5033, 4.17121;801
21250;ESSAROIS;21290;47.7576, 4.79399;90
21252;ETAIS;21500;47.7014, 4.44029;88
21254;L ETANG VERGY;21220;47.1826, 4.87603;224
21256;ETEVAUX;21270;47.3235, 5.32194;316
21257;ETORMAY;21450;47.5979, 4.58159;75
21264;LE FETE;21230;47.1799, 4.50838;54
21265;FIXIN;21220;47.2484, 4.96654;767
21272;FLEE;21140;47.4408, 4.33705;176
21274;FOISSY;21230;47.1251, 4.55155;167
21279;FONTAINES LES SECHES;21330;47.7844, 4.35897;32
21285;FRANXAULT;21170;47.0476, 5.26433;471
21286;FRENOIS;21120;47.5214, 4.89073;89
21287;FRESNES;21500;47.6097, 4.43872;175
21288;FROLOIS;21150;47.5293, 4.64775;177
21293;GERGUEIL;21410;47.2377, 4.81255;122
21297;GILLY LES CITEAUX;21640;47.178, 4.99751;684
21300;GISSEY SUR OUCHE;21410;47.2607, 4.78299;357
21301;GLANON;21250;47.0397, 5.10712;240
21304;GRANCEY LE CHATEAU NEUVELLE;21580;47.6737, 5.02411;269
21312;GURGY LA VILLE;21290;47.8522, 4.93836;37
21314;HAUTEROCHE;21150;47.4885, 4.57055;78
21338;LAMARGELLE;21440;47.5204, 4.83729;158
21340;LANTHES;21250;46.999, 5.20409;283
21347;LEVERNOIS;21200;46.9937, 4.87164;320
21359;LUCEY;21290;47.8522, 4.86275;60
21372;MAISEY LE DUC;21400;47.8449, 4.676;90
21373;MALAIN;21410;47.3212, 4.79374;757
21376;MARANDEUIL;21270;47.3454, 5.34082;119
21381;MARCILLY ET DRACY;21350;47.4054, 4.49597;113
21384;MAREY LES FUSSEY;21700;47.1216, 4.86215;63
21387;MARIGNY LES REULLEE;21200;47.0079, 4.95819;215
21388;MARLIENS;21110;47.2165, 5.178;575
21389;MARMAGNE;21500;47.6397, 4.38236;223
21390;MARSANNAY LA COTE;21160;47.279, 4.98451;5297
21393;MASSINGY;21400;47.9023, 4.59925;164
21396;MAUVILLY;21510;47.7097, 4.70429;66
21404;MENETREUX LE PITOIS;21150;47.5597, 4.45957;452
21408;MESSIGNY ET VANTOUX;21380;47.4189, 5.00145;1658
21410;MEULSON;21510;47.6921, 4.70218;33
21414;MIMEURE;21230;47.1524, 4.49525;318
21427;MONTCEAU ET ECHARNANT;21360;47.0609, 4.66667;172
21428;MONTHELIE;21190;46.9996, 4.76135;165
21431;MONTIGNY SUR ARMANCON;21140;47.44, 4.37366;157
21432;MONTIGNY SUR AUBE;21520;47.9542, 4.75596;286
21433;MONTIGNY MORNAY VILLENEUVE VINGEANNE;21610;47.5686, 5.45036;394
21448;MUSSY LA FOSSE;21150;47.5214, 4.44457;83
21459;NOIRON SUR BEZE;21310;47.4394, 5.29872;244
21460;NOIRON SUR SEINE;21400;47.9386, 4.46987;80
21471;ORRET;21450;47.6088, 4.70172;15
21472;ORVILLE;21260;47.5606, 5.21672;173
21473;OUGES;21600;47.2614, 5.07821;1358
21477;PANGES;21540;47.3739, 4.80267;90
21478;PASQUES;21370;47.3774, 4.85216;301
21484;PLANAY;21500;47.7373, 4.37481;82
21490;POISEUL LA VILLE ET LAPERRIERE;21450;47.57, 4.66439;167
21492;POMMARD;21630;47.0137, 4.79518;534
21497;PONT ET MASSENE;21140;47.469, 4.35812;210
21500;POUILLENAY;21150;47.5031, 4.46065;600
21506;PREMEAUX PRISSEY;21700;47.105, 4.94286;416
21506;PREMEAUX PRISSEY;21700;47.105, 4.94286;416
21507;PREMIERES;21110;47.2386, 5.29288;142
21508;PRENOIS;21370;47.375, 4.9059;403
21510;PRUSLY SUR OURCE;21400;47.8802, 4.64331;166
21532;ROUVRES EN PLAINE;21110;47.2386, 5.13846;1100
21533;ROUVRES SOUS MEILLY;21320;47.2063, 4.58974;94
21536;SACQUENAY;21260;47.5842, 5.32133;290
21538;ST ANDEUX;21530;47.3957, 4.09307;143
33447;ST MEDARD DE GUIZIERES;33230;45.0103, -0.0695992;2418
33449;ST MEDARD EN JALLES;33160;44.8833, -0.78424;31235
33456;ST PALAIS;33820;45.3095, -0.598081;535
33466;ST QUENTIN DE BARON;33750;44.8185, -0.281174;2363
33467;ST QUENTIN DE CAPLONG;33220;44.7954, 0.137421;251
33471;ST SAUVEUR;33250;45.1949, -0.818681;1338
33494;SALAUNES;33160;44.9277, -0.845721;936
33499;LES SALLES DE CASTILLON;33350;44.9145, 0.0055966;389
33508;SAVIGNAC;33124;44.5147, -0.108846;658
33509;SAVIGNAC DE L ISLE;33910;44.9866, -0.240281;514
33514;SOULAC SUR MER;33780;45.4933, -1.10918;2647
33522;TALENCE;33400;44.8061, -0.591125;43506
33524;TARNES;33240;44.976, -0.355091;306
33536;LE TUZAN;33125;44.4494, -0.6005;291
33537;UZESTE;33730;44.4334, -0.324575;404
33539;VAYRES;33870;44.8911, -0.325833;3812
33545;VERTHEUIL;33180;45.2541, -0.84541;1287
33550;VILLENAVE D ORNON;33140;44.7732, -0.558212;31967
33555;MARCHEPRIME;33380;44.703, -0.856343;4753
34006;AIGNE;34210;43.3256, 2.79308;274
34017;AUMES;34530;43.4639, 3.46994;501
34026;BEAUFORT;34210;43.3041, 2.76829;218
34027;BEAULIEU;34160;43.7299, 4.02119;1778
34030;BERLOU;34360;43.4986, 2.94999;203
34033;BOISSERON;34160;43.7524, 4.07621;1931
34034;BOISSET;34220;43.4018, 2.69025;44
34035;LA BOISSIERE;34150;43.6544, 3.64429;1042
34040;BRENAS;34650;43.6413, 3.2536;51
34046;CAMBON ET SALVERGUES;34330;43.6255, 2.89047;50
34052;CAPESTANG;34310;43.3218, 3.04814;3206
34056;CASTELNAU DE GUERS;34120;43.4352, 3.4713;1194
34059;LA CAUNETTE;34210;43.3674, 2.78722;315
34061;CAUSSES ET VEYRAN;34490;43.468, 3.09141;609
34062;CAUSSINIOJOULS;34600;43.5484, 3.15563;125
34066;CAZEVIEILLE;34270;43.7641, 3.79488;183
34073;CERS;34420;43.3303, 3.3173;2398
34077;CLAPIERS;34830;43.662, 3.8869;5527
34080;COLOMBIERES SUR ORB;34390;43.5853, 3.01085;494
34083;COMBES;34240;43.6024, 3.04762;347
34084;CORNEILHAN;34490;43.4019, 3.19647;1740
34091;LE CROS;34520;43.8803, 3.36305;56
34099;FERRIERES LES VERRERIES;34190;43.8676, 3.80029;60
34108;FRONTIGNAN;34110;43.4482, 3.74924;23014
34124;LACOSTE;34800;43.6572, 3.42317;334
34125;LAGAMAS;34150;43.6746, 3.53216;114
34126;LAMALOU LES BAINS;34240;43.5965, 3.08445;2596
34132;LAUROUX;34700;43.7915, 3.27831;197
34134;LAVERUNE;34880;43.5848, 3.80169;3211
34135;LESPIGNAN;34710;43.2737, 3.16982;3193
34145;LUNEL;34400;43.682, 4.13566;25466
34150;MARSEILLAN;34340;43.3606, 3.54719;7926
34152;MAS DE LONDRES;34380;43.7876, 3.77381;639
34153;LES MATELLES;34270;43.7279, 3.80682;2031
34154;MAUGUIO;34280;43.5928, 4.00426;17446
34158;MINERVE;34210;43.3629, 2.72161;132
34159;MIREVAL;34110;43.5171, 3.80307;3400
34162;MONTAGNAC;34530;43.4745, 3.51074;4305
34170;MONTOULIERS;34310;43.3354, 2.90624;241
34172;MONTPELLIER;34090;43.6134, 3.86852;282143
34173;MONTPEYROUX;34150;43.7112, 3.50241;1356
34178;MURVIEL LES BEZIERS;34490;43.4577, 3.13592;3080
34180;NEBIAN;34800;43.5995, 3.43678;1419
34188;OLMET ET VILLECUN;34700;43.708, 3.2979;168
34195;PEGAIROLLES DE BUEGES;34380;43.8052, 3.57591;41
34197;PERET;34800;43.5749, 3.39832;1029
34205;LES PLANS;34700;43.7561, 3.26565;295
34206;POILHES;34310;43.3046, 3.08956;572
34217;PRADES LE LEZ;34730;43.7073, 3.86489;5300
34221;PUECHABON;34150;43.7251, 3.60615;481
34234;ROQUESSELS;34320;43.5504, 3.22635;111
34240;ST AUNES;34130;43.635, 3.96579;3289
34241;ST BAUZILLE DE LA SYLVE;34230;43.6102, 3.55876;839
34254;ST FELIX DE LODEZ;34725;43.6608, 3.4689;1195
34258;ST GENIES DE FONTEDIT;34480;43.4689, 3.17498;1558
34276;ST MATHIEU DE TREVIERS;34270;43.7692, 3.87002;4792
34282;ST PAUL ET VALMALLE;34570;43.6147, 3.67926;1110
34288;ST SERIES;34400;43.7355, 4.10496;971
34289;ST THIBERY;34630;43.3928, 3.40081;2524
34296;SAUSSINES;34160;43.759, 4.05039;1022
34303;SORBS;34520;43.891, 3.40643;35
34308;TAUSSAC LA BILLIERE;34600;43.633, 3.07652;448
34312;LA TOUR SUR ORB;34260;43.6555, 3.15144;1297
34317;LA VACQUERIE ET ST MARTIN DE CASTRIES;34520;43.7941, 3.48108;186
34318;VACQUIERES;34270;43.829, 3.95059;552
34320;VAILHAUQUES;34570;43.6642, 3.72843;2650
34326;VELIEUX;34220;43.3902, 2.74495;80
34327;VENDARGUES;34740;43.661, 3.96283;6247
34329;VENDRES;34350;43.2582, 3.2272;2786
34331;VERRERIES DE MOUSSANS;34220;43.4494, 2.67915;95
35002;AMANLIS;35150;47.9998, -1.49556;1725
35014;BAIS;35680;48.0108, -1.3056;2389
35019;BAZOUGES LA PEROUSE;35560;48.4406, -1.56381;1840
35021;BEAUCE;35133;48.3473, -1.15617;1348
35031;LA BOUEXIERE;35340;48.1744, -1.43646;4420
35038;BREAL SOUS VITRE;35370;48.0922, -1.06109;664
35039;BRECE;35530;48.1108, -1.48992;2141
35050;CARDROC;35190;48.2847, -1.89383;565
35053;CHANCE;35680;48.0332, -1.37039;312
35054;CHANTELOUP;35150;47.9537, -1.6247;1865
35057;LA CHAPELLE BOUEXIC;35330;47.9366, -1.92323;1432
56101;LANGUIDIC;56440;47.8366, -3.14756;7926
56102;LANOUEE;56120;47.9872, -2.57568;1811
56103;LANTILLAC;56120;47.9513, -2.66089;311
56107;LARMOR PLAGE;56260;47.7159, -3.39111;8420
56110;LIGNOL;56160;48.0273, -3.27169;905
56115;LOCMARIA GRAND CHAMP;56390;47.7598, -2.7901;1660
56117;LOCMINE;56500;47.8796, -2.83755;4408
56120;LOCQUELTAS;56390;47.7645, -2.75838;1672
56129;MENEAC;56490;48.131, -2.45349;1628
56131;MESLAN;56320;47.9879, -3.44803;1452
56140;MOREAC;56500;47.9328, -2.80382;3824
56143;MUZILLAC;56190;47.5548, -2.47313;5124
56144;EVELLYS;56500;47.997, -2.8445;3526
56144;EVELLYS;56500;47.997, -2.8445;3526
56147;NIVILLAC;56130;47.5406, -2.24923;4572
56149;NOYAL MUZILLAC;56190;47.5996, -2.45966;2587
56154;PEILLAC;56220;47.7152, -2.21865;1908
56160;PLEUGRIFFET;56120;47.9938, -2.6915;1254
56161;PLOEMEL;56400;47.6595, -3.07159;2866
56164;PLOEREN;56880;47.6618, -2.84314;6826
56173;PLUMELIAU;56930;47.965, -2.98095;3758
56174;PLUMELIN;56500;47.8825, -2.88768;2806
56176;PLUNERET;56400;47.6782, -2.94568;5599
56179;PONT SCORFF;56620;47.8391, -3.41968;3806
56186;QUIBERON;56170;47.4882, -3.12282;5061
56188;QUISTINIC;56310;47.9093, -3.12816;1477
56190;REGUINY;56500;47.9859, -2.7719;2000
56193;RIANTEC;56670;47.7184, -3.30221;5481
56204;ST ALLOUESTRE;56500;47.9082, -2.73629;628
56210;ST CARADEC TREGOMEL;56540;48.0322, -3.35137;479
56213;ST GERAND;56920;48.1085, -2.88598;1118
56228;ST MARCEL;56140;47.8114, -2.41641;1098
56239;ST VINCENT SUR OUST;56350;47.7023, -2.14801;1481
56251;THEIX NOYALO;56450;47.6357, -2.64683;8111
56253;TREAL;56140;47.833, -2.22971;674
56262;BONO;56400;47.6369, -2.9395;2268
56263;STE ANNE D AURAY;56400;47.7009, -2.95342;2724
56264;KERNASCLEDEN;56540;48.0077, -3.3293;433
57008;ADELANGE;57380;49.0079, 6.60633;218
57017;AMANVILLERS;57865;49.1595, 6.04632;2216
57018;AMELECOURT;57170;48.8407, 6.48798;161
57022;ANGEVILLERS;57440;49.3876, 6.0426;1277
57027;ARRAINCOURT;57380;48.9761, 6.53049;131
57032;ARS SUR MOSELLE;57130;49.0853, 6.04785;4766
57033;ARZVILLER;57405;48.7217, 7.16339;559
57035;ASSENONCOURT;57260;48.7665, 6.79956;115
57037;AUBE;57580;49.0252, 6.33607;269
57038;AUDUN LE TICHE;57390;49.4583, 5.95735;6814
57053;BASSING;57260;48.8728, 6.80064;127
57055;BAZONCOURT;57530;49.0573, 6.38509;553
57056;BEBING;57830;48.7214, 6.9911;200
57058;BEHREN LES FORBACH;57460;49.1676, 6.94249;6658
57060;BENESTROFF;57670;48.9084, 6.75654;549
57061;BENING LES ST AVOLD;57800;49.134, 6.83743;1171
57069;BERVILLER EN MOSELLE;57550;49.2688, 6.65167;492
57074;BETTVILLER;57410;49.0756, 7.29044;853
57075;BEUX;57580;49.0006, 6.31229;278
57077;BEZANGE LA PETITE;57630;48.7321, 6.61188;95
57092;BLIES EBERSING;57200;49.1137, 7.14222;668
57097;BOULAY MOSELLE;57220;49.178, 6.49843;5699
57107;BREHAIN;57340;48.9081, 6.54463;106
57109;BREISTROFF LA GRANDE;57570;49.4518, 6.22462;664
57112;BROUCK;57220;49.13, 6.50888;88
57114;BROUVILLER;57635;48.7558, 7.16581;442
57115;BRULANGE;57340;48.9604, 6.54939;106
57116;BUCHY;57420;48.98, 6.28457;118
57121;BURTONCOURT;57220;49.2239, 6.40735;201
57123;CARLING;57490;49.1666, 6.71515;3482
57127;CHANVILLE;57580;49.0422, 6.43895;131
57129;CHARLY ORADOUR;57640;49.176, 6.24627;702
57134;CHATEL ST GERMAIN;57160;49.1318, 6.06586;1977
57138;CHENOIS;57580;48.9576, 6.4891;73
57140;CHESNY;57245;49.0524, 6.24363;614
57144;COCHEREN;57800;49.1435, 6.85326;3583
57150;CONDE NORTHEN;57220;49.1558, 6.42749;668
57151;CONTHIL;57340;48.8917, 6.66401;178
57160;CREUTZWALD;57150;49.2091, 6.68083;13523
57161;CUTTING;57260;48.8448, 6.8352;135
57165;DALEM;57550;49.241, 6.61298;612
57166;DALHAIN;57340;48.8881, 6.56449;117
57171;DELME;57590;48.8833, 6.3852;1119
57174;DESTRY;57340;48.9456, 6.5848;90
57186;EBERSVILLER;57320;49.2802, 6.39992;939
57192;ENCHENBERG;57415;49.0202, 7.32888;1300
57194;ENTRANGE;57330;49.4144, 6.11092;1306
57199;ESCHERANGE;57330;49.417, 6.06735;613
57201;ETTING;57412;49.0254, 7.18693;784
57220;FLOCOURT;57580;48.9726, 6.41178;122
57227;FORBACH;57600;49.1913, 6.89276;21994
57236;FREMERY;57590;48.924, 6.47344;76
57238;FRESNES EN SAULNOIS;57170;48.8388, 6.44012;189
57246;GELUCOURT;57260;48.7612, 6.73735;232
57256;GRAVELOTTE;57130;49.1112, 6.02427;843
57262;GROSTENQUIN;57660;48.9811, 6.74027;610
57264;GUEBENHOUSE;57510;49.0769, 6.95086;422
57267;LE VAL DE GUEBLANGE;57430;48.9803, 6.95648;878
57270;VAL DE BRIDE;57260;48.8293, 6.69041;613
57272;GUERMANGE;57260;48.8024, 6.8199;98
57291;HANGVILLER;57370;48.8155, 7.23285;278
57298;HARREBERG;57870;48.663, 7.17415;409
05013;BARCILLONNETTE;05110;44.4301, 5.90583;157
05018;LA BATIE VIEILLE;05000;44.5553, 6.15571;372
05022;BREZIERS;05190;44.4211, 6.22282;213
05028;CHABESTAN;05400;44.4776, 5.78305;140
05033;CHANOUSSE;05700;44.3647, 5.66014;41
05038;CHATEAU VILLE VIEILLE;05350;44.7677, 6.80007;349
05043;LES COSTES;05500;44.7486, 6.04729;183
05044;CREVOUX;05200;44.5376, 6.6247;140
05045;CROTS;05200;44.4963, 6.46197;1060
05049;ESPARRON;05110;44.4627, 5.89303;41
05055;LA FAURIE;05140;44.5675, 5.74041;319
05061;GAP;05000;44.5799, 6.06486;42592
05061;GAP;05000;44.5799, 6.06486;42592
05076;MEREUIL;05700;44.384, 5.71259;83
05079;LE MONETIER LES BAINS;05220;44.9956, 6.46967;1046
05080;MONTBRAND;05140;44.5916, 5.66766;65
05087;MONTMAUR;05400;44.5897, 5.88561;534
05096;ORCIERES;05170;44.6841, 6.34898;738
05100;PELLEAUTIER;05000;44.5103, 5.99878;702
05115;REMOLLON;05190;44.4716, 6.15978;436
05116;REOTIER;05600;44.6814, 6.56458;197
05117;RIBEYRET;05150;44.4107, 5.55803;106
05118;VAL BUECH MEOUGE;05300;44.2208, 5.84342;1390
05119;RISOUL;05600;44.624, 6.62317;669
05121;ROCHEBRUNE;05190;44.4523, 6.19249;172
05123;LA ROCHE DES ARNAUDS;05400;44.5838, 5.96046;1536
05139;LE DEVOLUY;05250;44.6775, 5.94047;1027
05141;ST EUSEBE EN CHAMPSAUR;05500;44.7224, 6.03647;154
05147;ST JULIEN EN CHAMPSAUR;05500;44.6685, 6.12992;361
05149;ST LEGER LES MELEZES;05260;44.6469, 6.21172;358
05157;ST VERAN;05350;44.6845, 6.89057;243
05173;UPAIX;05300;44.3196, 5.88311;461
05178;VENTAVON;05300;44.3857, 5.88845;565
06002;AMIRAT;06910;43.8963, 6.81256;74
06011;BEAULIEU SUR MER;06310;43.7079, 7.33257;3756
06014;BENDEJUN;06390;43.8303, 7.28447;964
06017;BEZAUDUN LES ALPES;06510;43.8036, 7.09357;248
06018;BIOT;06410;43.6277, 7.08319;10158
06023;BREIL SUR ROYA;06540;43.9404, 7.50392;2324
06027;CAGNES SUR MER;06800;43.6715, 7.15276;49799
06028;CAILLE;06750;43.7687, 6.75667;459
06030;LE CANNET;06110;43.573, 7.00642;42016
06031;CANTARON;06340;43.7712, 7.31317;1347
06032;CAP D AIL;06320;43.7247, 7.40162;4768
06038;CHATEAUNEUF GRASSE;06740;43.6656, 6.97914;3279
06053;DALUIS;06470;44.0387, 6.79997;150
06055;DURANUS;06670;43.894, 7.28023;139
06065;LA GAUDE;06610;43.7214, 7.1604;6563
06068;GOURDON;06620;43.7243, 6.96356;406
06069;GRASSE;06520;43.6556, 6.93191;51994
06070;GREOLIERES;06620;43.807, 6.93196;618
06081;LE MAS;06910;43.8369, 6.85894;158
06083;MENTON;06500;43.7908, 7.49366;28732
06084;MOUANS SARTOUX;06370;43.6185, 6.96494;9802
06088;NICE;06100;43.712, 7.23827;346055
06091;PEILLE;06440;43.8065, 7.41111;2373
06094;PEONE;06470;44.1299, 6.92099;875
06096;PIERLAS;06260;44.0347, 7.01698;97
06101;RIGAUD;06260;43.9929, 6.97505;210
06106;ROQUESTERON;06910;43.8678, 7.02414;584
06116;ST AUBAN;06850;43.831, 6.74007;241
06122;ST JEANNET;06640;43.7588, 7.14073;4174
06132;SAORGE;06540;43.9935, 7.53767;464
06147;TOURRETTE LEVENS;06690;43.7861, 7.27256;4924
06153;VALDEBLORE;06420;44.1128, 7.19572;1103
06155;VALLAURIS;06220;43.5766, 7.05837;26153
06158;VILLARS SUR VAR;06710;43.9519, 7.08025;730
06161;VILLENEUVE LOUBET;06270;43.6493, 7.10728;14423
06163;TENDE;06430;44.0998, 7.54053;2223
07005;ALBA LA ROMAINE;07400;44.5544, 4.59598;1455
07013;ARDOIX;07290;45.1914, 4.7432;1237
07016;ASPERJOC;07600;44.6951, 4.3509;419
07020;AUBIGNAS;07400;44.5855, 4.63389;497
07027;BEAUCHASTEL;07800;44.8295, 4.79715;1857
07028;BEAULIEU;07460;44.3546, 4.25062;500
07030;BEAUVENE;07190;44.8695, 4.51162;225
07033;BESSAS;07150;44.3376, 4.29833;205
07045;BURZET;07450;44.7482, 4.23386;404
07051;CHAMPAGNE;07340;45.2768, 4.79826;642
07058;CHASSIERS;07110;44.5661, 4.30217;1050
07059;CHATEAUBOURG;07130;44.9874, 4.83836;241
07065;CHIROLS;07380;44.688, 4.29519;260
07067;COLOMBIER LE CARDINAL;07430;45.2646, 4.74565;282
07076;CRUAS;07350;44.6566, 4.75659;3049
07080;DEVESSET;07320;45.0661, 4.39288;298
07081;DOMPNAC;07260;44.5629, 4.10717;68
07082;DORNAS;07160;44.8519, 4.35842;218
07088;FAUGERES;07230;44.4791, 4.13972;110
07089;FELINES;07340;45.3161, 4.72706;1619
07092;FREYSSENET;07000;44.6886, 4.54695;48
07097;GLUN;07300;45.007, 4.82465;717
07100;GRAVIERES;07140;44.4214, 4.0718;470
07105;ISSANLAS;07660;44.7669, 4.01543;109
07108;JAUNAC;07160;44.9198, 4.3927;139
07111;JUVINAS;07600;44.7044, 4.30728;177
07126;LAGORCE;07150;44.4449, 4.43142;1188
07128;LALOUVESC;07520;45.1157, 4.52556;409
07131;LANAS;07200;44.5369, 4.3839;399
07134;LAURAC EN VIVARAIS;07110;44.5033, 4.2883;1003
07138;LAVILLEDIEU;07170;44.5822, 4.44782;2114
38414;STE LUCE;38970;44.8504, 5.90544;43
38434;ST ONDRAS;38490;45.5172, 5.54742;626
38435;ST PANCRASSE;38660;45.2957, 5.84889;451
38437;ST PAUL D IZEAUX;38140;45.3142, 5.43191;303
38440;ST PIERRE DE BRESSIEUX;38870;45.3014, 5.3;784
38443;ST PIERRE DE CHERENNES;38160;45.1219, 5.38587;490
38453;ST ROMANS;38160;45.1052, 5.31866;1820
38456;ST SEBASTIEN;38710;44.8487, 5.80401;471
38460;ST SULPICE DES RIVOIRES;38620;45.4675, 5.60395;444
38464;ST VICTOR DE CESSIEU;38110;45.54, 5.38347;2257
38484;SERPAIZE;38200;45.5576, 4.91965;1862
38490;SILLANS;38590;45.3483, 5.39137;1915
38492;SINARD;38650;44.9431, 5.65579;681
38499;SUSVILLE;38350;44.9261, 5.76207;1346
38501;TENCIN;38570;45.3112, 5.95862;1999
38505;THODURE;38260;45.3158, 5.1555;759
38516;LA TRONCHE;38700;45.2104, 5.74343;6842
38517;TULLINS;38210;45.2939, 5.49006;7784
38522;VALJOUFFREY;38740;44.8815, 6.0795;147
38524;VARCES ALLIERES ET RISSET;38760;45.0909, 5.67686;8437
38525;VASSELIN;38890;45.6284, 5.45056;473
38526;VATILIEU;38470;45.2609, 5.4114;380
38534;VENOSC;38520;44.973, 6.10807;0
38536;VERNIOZ;38150;45.4303, 4.8988;1275
38540;VEUREY VOROIZE;38113;45.2694, 5.60195;1475
38547;VILLARD BONNOT;38190;45.2446, 5.88907;7169
38547;VILLARD BONNOT;38190;45.2446, 5.88907;7169
38551;VILLARD REYMOND;38520;45.029, 6.00824;44
38556;VILLE SOUS ANJOU;38150;45.3763, 4.85882;1229
38557;VILLETTE D ANTHON;38280;45.7844, 5.10742;4914
38559;VINAY;38470;45.2147, 5.40751;4273
38561;VIRIVILLE;38980;45.305, 5.20263;1661
38565;VOREPPE;38340;45.29, 5.64284;9797
38566;VOUREY;38210;45.317, 5.52234;1749
38567;CHAMROUSSE;38410;45.1197, 5.89438;470
39001;ABERGEMENT LA RONCE;39500;47.065, 5.37826;851
39002;ABERGEMENT LE GRAND;39600;46.9143, 5.67853;56
39006;AIGLEPIERRE;39110;46.9554, 5.80954;432
39014;ARCHELANGE;39290;47.1485, 5.52058;233
39025;AUGEA;39190;46.5621, 5.38938;295
39038;BARESIA SUR L AIN;39130;46.5424, 5.70324;160
39041;BAUME LES MESSIEURS;39210;46.7049, 5.64563;181
39041;BAUME LES MESSIEURS;39570;46.7049, 5.64563;181
39056;BLETTERANS;39140;46.7316, 5.42781;1456
39059;BOIS D AMONT;39220;46.5362, 6.12734;1754
39072;BRACON;39110;46.9256, 5.86757;274
39075;BRERY;39230;46.7844, 5.58059;233
39080;BROISSIA;39320;46.3563, 5.43286;65
39092;CHAMBERIA;39270;46.4694, 5.57031;171
39096;CHAMPAGNEY;39290;47.2596, 5.50446;484
39108;CHARENCY;39250;46.7666, 5.99265;58
39110;LA CHARME;39230;46.8486, 5.54677;67
39111;CHARNOD;39240;46.3372, 5.49365;41
39119;LE CHATELEY;39230;46.8796, 5.54444;89
39120;CHATELNEUF;39300;46.666, 5.9123;146
39127;CHAUSSENANS;39800;46.8247, 5.74543;97
39140;CHENE SEC;39230;46.8481, 5.44386;34
39146;CHILLY LE VIGNOBLE;39570;46.6597, 5.49691;687
39149;CHISSEY SUR LOUE;39380;47.0604, 5.74043;336
39154;CLAIRVAUX LES LACS;39130;46.5647, 5.75476;1490
39157;COISERETTE;39200;46.3381, 5.82576;57
39158;COISIA;39240;46.3032, 5.58205;0
39164;CONLIEGE;39570;46.6514, 5.61109;707
39169;COURBOUZON;39570;46.653, 5.5288;599
39170;COURLANS;39570;46.6757, 5.4868;962
39178;CRANS;39300;46.6951, 5.9813;72
39179;CRENANS;39260;46.4663, 5.74165;246
39183;CROTENAY;39300;46.7547, 5.81375;776
39186;CUTTURA;39170;46.4175, 5.81942;0
39188;DAMMARTIN MARPAIN;39290;47.2531, 5.55397;331
39199;DOMBLANS;39210;46.7624, 5.59;990
39201;DOUCIER;39130;46.65, 5.778;329
39209;VAL D EPY;39160;46.3756, 5.39068;287
39209;VAL D EPY;39160;46.3756, 5.39068;287
39220;FALLETANS;39700;47.0819, 5.56688;405
39222;FAY EN MONTAGNE;39800;46.7536, 5.71741;93
39228;FONCINE LE HAUT;39460;46.6591, 6.06155;1076
39229;FONTAINEBRUX;39140;46.6967, 5.43738;203
39250;GERUGE;39570;46.6251, 5.53076;176
39252;GEVRY;39100;47.0323, 5.44484;698
39261;GRAYE ET CHARNAY;39320;46.4732, 5.44899;138
39263;GROZON;39800;46.8898, 5.69024;450
39266;LES HAYS;39120;46.9085, 5.39082;325
39267;IVORY;39110;46.8987, 5.84967;92
39272;LADOYE SUR SEILLE;39210;46.7669, 5.68305;58
39274;LAJOUX;39310;46.3914, 6.00896;257
39277;LE LARDERET;39300;46.8188, 5.94601;79
39279;LARNAUD;39140;46.7068, 5.45783;598
39282;LA LATETTE;39250;46.7519, 6.09573;72
39286;LAVANS LES ST CLAUDE;39170;46.3902, 5.7772;2075
39286;LAVANS LES ST CLAUDE;39170;46.3902, 5.7772;2075
39288;LAVIGNY;39210;46.717, 5.60518;378
39289;LECT;39260;46.3941, 5.6726;361
39295;LOISIA;39320;46.4942, 5.46232;167
39298;LONGCOCHON;39250;46.7705, 6.07492;59
39300;LONS LE SAUNIER;39000;46.6745, 5.55733;18272
39305;LA LOYE;39380;47.0305, 5.55264;556
39307;MAISOD;39260;46.4791, 5.69233;342
39321;MENETRU LE VIGNOBLE;39210;46.7746, 5.63483;154
39325;MESNAY;39600;46.9, 5.81906;591
21540;ST APOLLINAIRE;21850;47.336, 5.09323;7448
21541;ST AUBIN;21190;46.9505, 4.71144;237
21546;ST DIDIER;21210;47.3168, 4.17339;216
21559;STE MARIE SUR OUCHE;21410;47.2887, 4.80367;716
